"store","state","place_id","name","address","latitude","longitude"
"Ben and Jerry's","VA","ChIJLQwbH2_puokRSHg40YgXEZU","Ben & Jerry's","3220 Atlantic Ave, Virginia Beach, VA 23451, USA","36.861003","-75.9789389"
"Ben and Jerry's","VA","ChIJwdGAGB9ItokRYNk7JFRjRhg","Ben & Jerry's","11916 Market St, Reston, VA 20190, USA","38.9588561","-77.3578093"
"Ben and Jerry's","VA","ChIJZ0d48J85tokRHEwp-XYePJE","Ben & Jerry's","21100 Dulles Town Cir, Sterling, VA 20166, USA","39.03241209999999","-77.42363809999999"
"Ben and Jerry's","VA","ChIJp80zAn0OTYgRTtKhsE3zjoU","Ben & Jerry's","4802 Valley View Boulevard NW Space LB-95, Roanoke, VA 24012, United States","37.303866","-79.963455"
"Ben and Jerry's","VA","ChIJs0vKHwjDuokRt-Clw6HonTo","Ben & Jerry's","312 Sandbridge Rd, Virginia Beach, VA 23456, USA","36.7460442","-75.9463648"
"Ben and Jerry's","VA","ChIJsZn-BmGTTYgR8ByoqGagqq8","Ben & Jerry's","782 New River Rd, Christiansburg, VA 24073, USA","37.165158","-80.4268259"
"Ben and Jerry's","VA","ChIJ-3W-NhGNsIkRyf7Ah2qRtvE","Ben & Jerry's","5699 Richmond Rd #18, Williamsburg, VA 23188, USA","37.3185753","-76.7358989"
"Ben and Jerry's","WA","ChIJSWywlHqhMioRlV9BndfT0Fw","Ben & Jerry's","Shop 11/1-13 South Terrace, Fremantle WA 6160, Australia","-32.055591","115.747043"
"Ben and Jerry's","WA","ChIJ0VwP4pCrMioR10Q1asipOlo","Ben & Jerry's","Shop 30/58 Southside Dr, Sorrento WA 6025, Australia","-31.8247391","115.7397822"
"Ben and Jerry's","WA","ChIJjyM3cNG6MioRkoAZvLrr5lM","Ben & Jerry's","82 James St, Northbridge WA 6003, Australia","-31.9486278","115.858689"
"Ben and Jerry's","WA","ChIJ3f13E11TzSsRaf-aUD3EUL8","Ben & Jerry's","Lakeside Joondalup Shopping Centre (Ground floor opposite City Beach, 420 Joondalup Dr, Joondalup WA 6027, Australia","-31.7438132","115.7672115"
"Ben and Jerry's","WV","ChIJsZn-BmGTTYgR8ByoqGagqq8","Ben & Jerry's","782 New River Rd, Christiansburg, VA 24073, USA","37.165158","-80.4268259"
"Ben and Jerry's","WV","ChIJZ0d48J85tokRHEwp-XYePJE","Ben & Jerry's","21100 Dulles Town Cir, Sterling, VA 20166, USA","39.03241209999999","-77.42363809999999"
"Ben and Jerry's","WI","ChIJJyGFwK_HD4gRtZUkmFN3zk8","Ben & Jerry's","1860 Tower Dr, Glenview, IL 60026, USA","42.0885931","-87.82446560000001"
"Ben and Jerry's","WI","ChIJj3c_ZFIrDogR4OxvPsmW4C8","Ben & Jerry's","600 E Grand Ave, Chicago, IL 60611, USA","41.8917276","-87.6085693"
"Ben and Jerry's","WI","ChIJTf6LlDdTBogRqnX7ZSx0Q34","Ben & Jerry's","224 State St, Madison, WI 53703, USA","43.0749204","-89.38839449999999"
"Ben and Jerry's","WI","ChIJq1EIiLRVBogRkeG32YbHpKA","Ben & Jerry's","4000 International Ln, Madison, WI 53704, USA","43.1360591","-89.34566769999999"
"Ben and Jerry's","WI","ChIJY5tIn_lgBYgRNiidII2WZrU","Ben & Jerry's","6610 Green Bay Rd, Kenosha, WI 53142, USA","42.5745071","-87.8867528"
